Image Name,shoulder_right,hip_right,knee_right,ankle_right,shoulder_left,hip_left,knee_left,ankle_left,exercise_type
1.jpg,119.85189607633536,245.31224256456008,138.7611932012689,336.90490033329723,111.8010813261915,240.07588968023092,122.11938819599877,336.81856406648257,squat
0.jpg,261.9980156181852,108.2157339118402,236.99168662740757,23.69161267948446,260.8922107715936,110.04098723568485,237.93415696963697,24.980765766262426,squat
2.jpg,209.1240183818842,157.26955119422612,193.84069549165562,13.275259664640952,144.95262806000505,201.41089521804196,163.76467906463247,348.2563156096303,squat
3.jpg,227.18649312653693,139.12612996361585,199.994474599291,11.696099801403376,127.91502884265311,218.69229917391343,159.4497442211657,349.27655312726705,squat
4.jpg,85.90173218330368,281.1692302174973,96.01691703617388,337.7231422220276,86.70601239924105,284.38001543738034,84.2996231356763,341.3725595073756,squat
5.jpg,259.22666184429113,101.03447131807087,267.0934729913477,24.97555782356339,269.5061791209076,101.78748196445477,264.8455572182835,15.11969080851865,squat
6.jpg,271.9751376442081,91.3776279892784,229.92059664238107,31.747786386899715,259.2423239346961,108.7825138408407,268.4981606252191,18.027425124377093,squat
7.jpg,231.74287058809927,140.41327959884615,192.56659196204976,13.190827144027748,116.42646032045776,232.37005145192813,167.39627846210945,340.67996401099157,squat
8.jpg,304.1369880363372,53.596151999111775,199.4958132704974,6.227072573360393,64.14562448270627,300.48812084996723,172.06547192689638,349.4015889866878,squat
9.jpg,122.44975728267788,243.67875917902612,148.21798280370672,347.0971723210214,69.91200789042246,281.1891413964252,105.51773796575137,340.0603561219202,squat
10.jpg,123.39966279960493,258.8661902827405,80.31632472269493,340.0655996879225,119.87025920988654,273.8733057604096,93.84155164138296,331.7483576966028,squat
11.jpg,262.93318482689875,102.03749844317562,243.78781526637007,21.938166817700996,262.6101658721418,109.37291579321509,269.32263742433673,20.09632663715207,squat
12.jpg,208.12844663384254,172.06211343074358,180.77990333543875,6.675185300318734,145.50036215710833,206.7532931705229,152.39635769575395,347.67912964794175,squat
13.jpg,282.4260030199294,79.61573602867074,246.9887033637518,13.60082679665057,271.88994214909417,93.8815714000559,228.14293651291365,15.329854197519209,squat
14.jpg,88.10058642769556,264.3688353620562,114.73960770604387,329.7086113926497,67.72166047248632,277.9495538876088,100.17996308393131,338.9366570652505,squat
15.jpg,218.36341308695438,165.95977257975392,184.42281217788064,356.96996490507854,136.31719796945927,207.61675227554014,160.2851638937977,347.9964367364873,squat
16.jpg,306.5261466248119,58.19881926923634,265.80342106211816,18.50398547766731,253.3319522106059,103.35464724688032,257.2110850953625,13.172677391061566,squat
17.jpg,94.34143785836544,261.39774940800606,84.79413872707609,342.4538771597154,93.80612198206452,264.90782474059915,116.07131799542506,348.6691223407706,squat
18.jpg,294.46329327472415,45.82360838825202,242.51673551406273,36.927515135920906,295.07534345685804,56.1258460571057,217.95732127808287,39.11148460170253,squat
19.jpg,251.47850989745325,126.18288089181046,198.8923574851107,30.967719608381966,107.77179145236805,238.02131915480794,164.55686963790444,334.8308444407709,squat
20.jpg,195.24149954963872,175.46509570776817,184.9610490140518,7.194367672119778,164.11246070198308,186.88167091117072,178.32285559251065,354.2467570419476,squat
